"gene","Adventitial Fibroblast","Airway Smooth Muscle","Alveolar Epithelial Type 1","Alveolar Epithelial Type 2","Alveolar Fibroblast","Artery","B","Basal","Basophil/Mast 1","Basophil/Mast 2","Bronchial Vessel 1","Bronchial Vessel 2","CD4+ Memory/Effector T","CD4+ Naive T","CD8+ Memory/Effector T","CD8+ Naive T","Capillary","Capillary Aerocyte","Ciliated","Classical Monocyte","Club","Differentiating Basal","Fibromyocyte","Goblet","IGSF21+ Dendritic","Ionocyte","Lymphatic","Macrophage","Mucous","Myeloid Dendritic Type 1","Myeloid Dendritic Type 2","Myofibroblast","Natural Killer","Natural Killer T","Neuroendocrine","Nonclassical Monocyte","Pericyte","Plasma","Plasmacytoid Dendritic","Platelet/Megakaryocyte","Proliferating Basal","Proliferating Macrophage","Proliferating NK/T","Proximal Basal","Proximal Ciliated","Serous","Signaling Alveolar Epithelial Type 2","TREM2+ Dendritic","Vascular Smooth Muscle","Vein"
"CTSL",0.991141174208624,0.817567995374762,0.534000557749966,0.178738064035893,0.75539157556208,0.232513930067521,0.00895884615905322,0.302156702338509,0.142986257412055,0.0937140402388513,0.40107903129774,0.267528525658146,0.12408096500297,0.0565286278767527,0.0102284117479566,0.0322078914386657,0.47771653170656,0.491508085817351,0.516044058849832,0.089631803075236,0.161803388277523,0.209187737246072,0.877579064226561,0.136674029942973,0.801370522976001,0.499570238359399,0.826086352524082,1.76174096851004,0.175880603593551,0.363782429069936,0.227619134428457,0.630427277866358,0.0526921669298921,0.0303230179163353,0.369482642799392,0.677699386068214,0.629535663437825,0.114581220662814,0.0312483889563434,0.750889544448352,0.211793691088498,1.91854897238714,0.00988301786850752,0.261277915668611,0.588346882701279,0.160464865023756,0.128699943584511,1.51952287077262,0.784681886766003,0.652313896386404
"ACE2",0.00556791345183836,0,0,0.0108840805442399,0.0017652469843607,0,0,0.0175128169893337,0,0,0,0,0,0,0,0,0,0,0.0139939427831081,0,0.00814473333718984,0.0111177399172301,0,0.0112753519153811,0,0,0,0,0.0108751800136557,0,0,0,0,0,0,0,0.0159785582317027,0,0,0,0.0060744661025289,0,0,0.0159054274956018,0.00791508078849172,0,0.00367293672092961,0,0.00403812739711683,0
"TMPRSS2",0,0.00308045677505405,0.508751380079982,0.473375244676101,0,0,0,0.253519480073797,0.00315029209096577,0,0,0,0,0,0,0.00180000299429174,0.00111789990526403,0,0.189574822295744,0,0.372851859034862,0.171216175635592,0,0.227092011081071,0,0.527783061211724,0,0.00479003991704978,0.196094306377014,0.011198313780876,0,0,0.00254046816786397,0,0,0,0,0.00365857674169762,0,0.114304828843435,0.138989280402971,0,0,0.144292547337248,0.350367001852186,0.194373961366914,0.367345490258623,0.0053241319848349,0,0
